Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Region,City,State,Postal Code,Product ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,South,Concord,North Carolina,28027,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,15.55,3,0.2,5.44
14,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,West,Seattle,Washington,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,407.98,3,0.2,132.59
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Central,Fort Worth,Texas,76106,OFF-AP-10002311,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter,Office Supplies,Appliances,68.81,5,0.8,-123.86
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Central,Fort Worth,Texas,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,2.54,3,0.8,-3.82
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Central,Madison,Wisconsin,53711,OFF-ST-10004186,"Stur-D-Stor Shelving  Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,665.88,6,0,13.32
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West,West Jordan,Utah,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,55.5,2,0,9.99
19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,West,San Francisco,California,94109,OFF-AR-10003056,Newell 341,Office Supplies,Art,8.56,2,0,2.48
20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,West,San Francisco,California,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,213.48,3,0.2,16.01
21,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,West,San Francisco,California,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder  White  1""",Office Supplies,Binders,22.72,4,0.2,7.38
22,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Central,Fremont,Nebraska,68025,OFF-AR-10000246,Newell 318,Office Supplies,Art,19.46,7,0,5.06
23,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Central,Fremont,Nebraska,68025,OFF-AP-10001492,Acco Six-Outlet Power Strip  4' Cord Length,Office Supplies,Appliances,60.34,7,0,15.69
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,East,Philadelphia,Pennsylvania,19140,FUR-CH-10002774,Global Deluxe Stacking Chair  Gray,Furniture,Chairs,71.37,2,0.3,-1.02
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,West,Orem,Utah,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,1044.63,3,0,240.26
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,West,Los Angeles,California,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,11.65,2,0.2,4.22
27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,West,Los Angeles,California,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,90.57,3,0,11.77
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,East,Philadelphia,Pennsylvania,19140,FUR-BO-10004834,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,Furniture,Bookcases,3083.43,7,0.5,-1665.05
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,East,Philadelphia,Pennsylvania,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,9.62,2,0.7,-7.05
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,East,Philadelphia,Pennsylvania,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,124.2,3,0.2,15.53
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,East,Philadelphia,Pennsylvania,19140,OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,3.26,2,0.2,1.1
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,East,Philadelphia,Pennsylvania,19140,OFF-AR-10004042,BOSTON Model 1800 Electric Pencil Sharpeners  Putty/Woodgrain,Office Supplies,Art,86.3,6,0.2,9.71
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,East,Philadelphia,Pennsylvania,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks  14 7/8"" x 11""  Executive Red",Office Supplies,Binders,6.86,6,0.7,-5.72
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,East,Philadelphia,Pennsylvania,19140,OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,15.76,2,0.2,3.55
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Central,Houston,Texas,77095,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,29.47,3,0.2,9.95
36,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Central,Richardson,Texas,75080,TEC-PH-10004977,GE 30524EE4,Technology,Phones,1097.54,7,0.2,123.47
37,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Central,Richardson,Texas,75080,FUR-FU-10003664,Electrix Architect's Clamp-On Swing Arm Lamp  Black,Furniture,Furnishings,190.92,5,0.6,-147.96
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Central,Houston,Texas,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,113.33,9,0.2,35.42
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Central,Houston,Texas,77041,FUR-BO-10002545,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,Furniture,Bookcases,532.4,3,0.32,-46.98
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Central,Houston,Texas,77041,FUR-CH-10004218,Global Fabric Manager's Chair  Dark Gray,Furniture,Chairs,212.06,3,0.3,-15.15
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Central,Houston,Texas,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,371.17,4,0.2,41.76
42,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Central,Naperville,Illinois,60540,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,147.17,4,0.2,16.56
43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,West,Los Angeles,California,90049,OFF-ST-10003479,Eldon Base for stackable storage shelf  platinum,Office Supplies,Storage,77.88,2,0,3.89
44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,South,Melbourne,Florida,32935,OFF-ST-10003282,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,Office Supplies,Storage,95.62,2,0.2,9.56
45,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Central,Eagan,Minnesota,55122,TEC-AC-10000171,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack,Technology,Accessories,45.98,2,0,19.77
46,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Central,Eagan,Minnesota,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,17.46,2,0,8.21
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Central,Westland,Michigan,48185,OFF-ST-10001713,Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black,Office Supplies,Storage,211.96,4,0,8.48
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,East,Dover,Delaware,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,45,3,0,4.95
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,East,Dover,Delaware,19901,TEC-PH-10003988,LF Elite 3D Dazzle Designer Hard Case Cover  Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,Technology,Phones,21.8,2,0,6.1
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,Central,New Albany,Indiana,47150,OFF-BI-10004410,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,Office Supplies,Binders,38.22,6,0,17.96
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,Central,New Albany,Indiana,47150,OFF-LA-10002762,Avery 485,Office Supplies,Labels,75.18,6,0,35.33
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,Central,New Albany,Indiana,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,6.16,2,0,2.96
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,Central,New Albany,Indiana,47150,FUR-CH-10003061,Global Leather Task Chair  Black,Furniture,Chairs,89.99,1,0,17.1
54,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,East,New York City,New York,10024,OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,15.26,7,0,6.26
55,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,East,New York City,New York,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,1029.95,5,0,298.69
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,East,Troy,New York,12180,OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,208.56,6,0,52.14
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,East,Troy,New York,12180,OFF-PA-10001569,Xerox 232,Office Supplies,Paper,32.4,5,0,15.55
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,East,Troy,New York,12180,FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,319.41,5,0.1,7.1
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,East,Troy,New York,12180,OFF-PA-10000587,Array Parchment Paper  Assorted Colors,Office Supplies,Paper,14.56,2,0,6.99
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,East,Troy,New York,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,30,2,0,3.3
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,East,Troy,New York,12180,OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,48.48,4,0.2,16.36
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,East,Troy,New York,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,1.68,1,0,0.84
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,West,Los Angeles,California,90004,TEC-AC-10004633,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  3/Pack,Technology,Accessories,13.98,2,0,6.15
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,West,Los Angeles,California,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7/8"" X 11""",Office Supplies,Binders,25.82,6,0.2,9.36
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,West,Los Angeles,California,90004,OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,146.73,3,0,68.96
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,West,Los Angeles,California,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,79.76,4,0,22.33
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Central,Chicago,Illinois,60610,FUR-CH-10001146,Global Value Mid-Back Manager's Chair  Gray,Furniture,Chairs,213.12,5,0.3,-15.22
68,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,West,Gilbert,Arizona,85234,OFF-AR-10002671,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener  Beige,Office Supplies,Art,1113.02,8,0.2,111.3
69,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,West,Gilbert,Arizona,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,167.97,4,0.2,62.99
70,CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,South,Springfield,Virginia,22153,OFF-PA-10000482,Snap-A-Way Black Print Carbonless Ruled Speed Letter  Triplicate,Office Supplies,Paper,75.88,2,0,35.66
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,East,New York City,New York,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,4.62,1,0.2,1.73
72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Central,Jackson,Michigan,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section  5 1/2"" x 3 3/16""",Office Supplies,Paper,19.05,3,0,8.76
73,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,South,Memphis,Tennessee,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,831.94,8,0.2,-114.39
74,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,South,Memphis,Tennessee,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36"" x 48""",Furniture,Furnishings,97.04,2,0.2,1.21
75,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,South,Memphis,Tennessee,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,72.78,1,0.2,-18.2
76,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Central,Houston,Texas,77041,OFF-BI-10004182,Economy Binders,Office Supplies,Binders,1.25,3,0.8,-1.93
77,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Central,Houston,Texas,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock  Black",Furniture,Furnishings,9.71,3,0.6,-5.82
78,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Central,Houston,Texas,77041,OFF-ST-10000615,SimpliFile Personal File  Black Granite  15w x 6-15/16d x 11-1/4h,Office Supplies,Storage,27.24,3,0.2,2.72
79,US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,Central,Houston,Texas,77070,FUR-FU-10003194,Eldon Expressions Desk Accessory  Wood Pencil Holder  Oak,Furniture,Furnishings,19.3,5,0.6,-14.48
80,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,South,Decatur,Alabama,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,208.16,1,0,56.2
81,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,South,Decatur,Alabama,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,16.74,3,0,8.04
82,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,West,San Francisco,California,94122,OFF-AR-10002053,Premium Writing Pencils  Soft  #2 by Central Association for the Blind,Office Supplies,Art,14.9,5,0,4.17
83,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,West,San Francisco,California,94122,OFF-ST-10002370,Sortfiler Multipurpose Personal File Organizer  Black,Office Supplies,Storage,21.39,1,0,6.2
84,CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,South,Durham,North Carolina,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,200.98,7,0.2,62.81
85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Christopher Schild,Home Office,United States,Central,Chicago,Illinois,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,230.38,3,0.2,-48.95
86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,South,Columbia,South Carolina,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,301.96,2,0,33.22
87,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Central,Rochester,Minnesota,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,19.99,1,0,6.8
88,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Central,Rochester,Minnesota,55901,OFF-LA-10000134,Avery 511,Office Supplies,Labels,6.16,2,0,2.96
89,CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Central,Houston,Texas,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,158.37,7,0.2,13.86
90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,West,Los Angeles,California,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,20.1,3,0,6.63
91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,West,Los Angeles,California,90036,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,73.58,2,0.2,8.28
92,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,West,Los Angeles,California,90036,OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,6.48,1,0,3.11
93,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Central,Minneapolis,Minnesota,55407,OFF-PA-10003177,Xerox 1999,Office Supplies,Paper,12.96,2,0,6.22
94,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Central,Minneapolis,Minnesota,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,53.34,3,0,16.54
95,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Central,Minneapolis,Minnesota,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders,32.96,2,0,16.15
96,US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,West,Portland,Oregon,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,5.68,1,0.7,-3.79
97,CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,East,New York City,New York,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,96.53,7,0,40.54
98,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Katherine Ducich,Consumer,United States,West,San Francisco,California,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,51.31,3,0.2,17.96
99,CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Central,Saint Paul,Minnesota,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,77.88,6,0,22.59
100,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Central,Chicago,Illinois,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,64.62,7,0.2,22.62
101,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Central,Chicago,Illinois,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,95.98,3,0.2,-10.8
102,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Central,Chicago,Illinois,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,1.79,3,0.8,-3.04
103,CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Central,Rochester,Minnesota,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,23.92,4,0,11.72
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,West,Aurora,Colorado,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,238.9,6,0.2,-26.88
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,West,Aurora,Colorado,80013,FUR-FU-10004006,Deflect-o DuraMat Lighweight  Studded  Beveled Mat for Low Pile Carpeting,Furniture,Furnishings,102.36,3,0.2,-3.84
106,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,West,Aurora,Colorado,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder  3"" Capacity  Black  1040 sheets",Office Supplies,Binders,36.88,3,0.7,-25.82
107,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,South,Charlotte,North Carolina,28205,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,74.11,8,0.2,17.6
108,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,South,Charlotte,North Carolina,28205,TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,27.99,1,0.2,2.1
109,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,South,Charlotte,North Carolina,28205,OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,3.3,1,0.2,1.07
